level,traditional,pinyin,pos
1,我,wŏ,N
1,你/妳,nĭ,N
1,他/她,tā,N
1,我們,wŏmen,N
1,你們/妳們,nĭmen,N
1,他們/她們,tāmen,N
1,您,nín,N
1,誰,shéi,N
1,姓名,xìngmíng,N
1,人,rén,N
1,國,guó,N
1,中國,zhōngguó,N
1,美國,měiguó,N
1,日本,rìběn,N
1,台灣/臺灣,táiwān,N
1,名字(˙ㄗ),míngzi,N
1,家,jiā,N
1,電話,diànhuà,N
1,時間,shíjiān,N
1,小時,xiăoshí,N
1,現在,xiànzài,N
1,今年,jīnnián,N
1,今天,jīntiān,N
1,明天,míngtiān,N
1,昨天,zuótiān,N
1,早上,zăoshàng,N
1,上午,shàngwŭ,N
1,中午,zhōngwŭ,N
1,下午,xiàwŭ,N
1,晚上,wănshàng,N
1,一,yī,N
1,二,èr,N
1,三,sān,N
1,四,sì,N
1,五,wŭ,N
1,六,liù,N
1,七,qī,N
1,八,bā,N
1,九,jiŭ,N
1,十,shí,N
1,兩,liăng,N
1,時候,shíhòu,N
1,百,băi,N
1,半,bàn,N
1,千,qiān,N
1,爸爸/爸,bàba/bà,N
1,媽媽/媽,māma/mā,N
1,哥哥/哥,gēge/gē,N
1,弟弟/弟,dìdi/dì,N
1,姊姊/姐姐/姊/姐,jiějie/jiě,N
1,妹妹/妹,mèimei/mèi,N
1,小孩(子),xiăohái(zi),N
1,的,de,Ptc
1,第,dì,Det
1,分,fēn,M
1,點,diăn,M
1,個,ge,M
1,歲,suì,M
1,年,nián,M
1,住,zhù,V
1,來,lái,V
1,是,shì,Vst
1,姓,xìng,Vst
1,覺得,juéde,Vst
1,喜歡,xĭhuān,Vst
1,打電話,dădiànhuà,Vi
1,漂亮,piàolìang,Vs
1,高,gāo,Vs
1,老,lăo,Vs
1,好,hăo,Adv
1,很,hěn,Adv
1,真,zhēn,Adv
1,電腦,diànnăo,N
1,老師,lăoshī,N
1,買,măi,V
1,忙,máng,Vs
1,學生,xuéshēng,N
1,大學,dàxué,N
1,學校,xuéxiào,N
1,中文,zhōngwén,N
1,同學,tóngxué,N
1,字,zì,N
1,筆,bĭ,N
